Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
6	0.002118680638	-0.0006	-0.0015999	0.000277938	0
7	0.00217876289418	-0.0006	-0.0016999	0.000258865	0
8	0.00267818824789	0.0001	-0.0018	0.000248613	0
9	0.00273821042182	0.0001	-0.0018999	0.000248017	0
10	0.00375755157882	-0.0011	-0.0019999	0.000244262	0
11	0.00377740756437	-0.001	-0.0020999	0.000235499	0.00409928737223
12	0.00415730286975	-0.0014	-0.0022	0.000217916	0
13	0.00505653959664	-0.0002	-0.0022999	0.000234486	0.00378127444262
14	0.00519656009456	-0.0003	-0.0023999	0.000237585	0
15	0.00521635599785	-0.0002	-0.0025	0.000250401	0
16	0.00535631641352	-0.0003	-0.0025999	0.000267448	0
17	0.0054163986697	-0.0003	-0.0026999	0.000250937	0
18	0.00555641916762	-0.0004	-0.0027999	0.000228942	0
19	0.00561650142381	-0.0004	-0.0028999	0.000200571	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000165937741004	0.001	-0.0010999	0.000355544	0
2	0.000306805321607	0.0009	-0.0011999	0.000341894	0
3	0.000524422369333	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000690295928041	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00198137859876	-0.0006	-0.0014999	0.000286939	0.00350506486574
6	0.00204556089454	-0.0006	-0.0015999	0.000277938	0
7	0.00210974319031	-0.0006	-0.0016999	0.000258865	0
8	0.00258229370604	0.0001	-0.0018	0.000248613	0
9	0.00264641181952	0.0001	-0.0018999	0.000248017	0
10	0.00363081753322	-0.0011	-0.0019999	0.000244262	0
11	0.00364332052228	-0.001	-0.0020999	0.000235499	0.00409928737223
12	0.00401430813966	-0.0014	-0.0022	0.000217916	0
13	0.00487041344411	-0.0002	-0.0022999	0.000234486	0.00378127444262
14	0.00501128102471	-0.0003	-0.0023999	0.000237585	0
15	0.00502371983147	-0.0002	-0.0025	0.000250401	0
16	0.00516452322978	-0.0003	-0.0025999	0.000267448	0
17	0.00522870552555	-0.0003	-0.0026999	0.000250937	0
18	0.00536957310615	-0.0004	-0.0027999	0.000228942	0
19	0.00543375540193	-0.0004	-0.0028999	0.000200571	0
20	0.00565130826736	-0.0006	-0.0029999	0.000170649	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.0001602948333	0.001	-0.0010999	0.000355544	0
2	0.000301392301298	0.0009	-0.0011999	0.000341894	0
3	0.000517887168996	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000678116236462	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00194912244662	-0.0006	-0.0014999	0.000286939	0.00350506486574
6	0.00201488828075	-0.0006	-0.0015999	0.000277938	0
7	0.00208065411488	-0.0006	-0.0016999	0.000258865	0
8	0.00254214395197	0.0001	-0.0018	0.000248613	0
9	0.00260784402027	0.0001	-0.0018999	0.000248017	0
10	0.0035775894608	-0.0011	-0.0019999	0.000244262	0
11	0.00358715526053	-0.001	-0.0020999	0.000235499	0.00409928737223
12	0.00395431339596	-0.0014	-0.0022	0.000217916	0
13	0.00479259293405	-0.0002	-0.0022999	0.000234486	0.00378127444262
14	0.00493369040205	-0.0003	-0.0023999	0.000237585	0
15	0.00494319043595	-0.0002	-0.0025	0.000250401	0
16	0.00508422213812	-0.0003	-0.0025999	0.000267448	0
17	0.00514998797225	-0.0003	-0.0026999	0.000250937	0
18	0.00529108544025	-0.0004	-0.0027999	0.000228942	0
19	0.00535685127438	-0.0004	-0.0028999	0.000200571	0
20	0.00557328037624	-0.0006	-0.0029999	0.000170649	0
21	0.00609103601357	-0.0012	-0.0030999	0.000143708	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000172741097342	0.001	-0.0010999	0.000355544	0
2	0.000313244418284	0.0009	-0.0011999	0.000341894	0
3	0.000532105499624	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000704784389198	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00201965879181	-0.0006	-0.0014999	0.000286939	0.00350506486574
6	0.00208186656012	-0.0006	-0.0015999	0.000277938	0
7	0.00214407432843	-0.0006	-0.0016999	0.000258865	0
8	0.00262987322076	0.0001	-0.0018	0.000248613	0
9	0.0026920187813	0.0001	-0.0018999	0.000248017	0
10	0.00369377318116	-0.0011	-0.0019999	0.000244262	0
11	0.00370986096548	-0.001	-0.0020999	0.000235499	0.00409928737223
12	0.00408531315208	-0.0014	-0.0022	0.000217916	0
13	0.00496271422308	-0.0002	-0.0022999	0.000234486	0.00378127444262
14	0.00510321754402	-0.0003	-0.0023999	0.000237585	0
15	0.00511924312057	-0.0002	-0.0025	0.000250401	0
16	0.00525968423374	-0.0003	-0.0025999	0.000267448	0
17	0.00532189200206	-0.0003	-0.0026999	0.000250937	0
18	0.005462395323	-0.0004	-0.0027999	0.000228942	0
19	0.00552460309131	-0.0004	-0.0028999	0.000200571	0
20	0.00574340196488	-0.0006	-0.0029999	0.000170649	0
21	0.00627538304897	-0.0012	-0.0030999	0.000143708	0
22	0.00704225079094	-0.0021	-0.0031999	0.000152946	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.00017741834658	0.001	-0.0010999	0.000355544	0
2	0.00031761372239	0.0009	-0.0011999	0.000341894	0
3	0.000537258134159	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000714615673592	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00204557367442	-0.0006	-0.0014999	0.000286939	0.00350506486574
